"id","topic","text","treatment date","treatment country","treatment given"
"137","refractive errors (uncorrected)","Simple vision problems (myopia, hyperopia) are a major cause of visual impairment, correctable with glasses. Public screening programs are vital.","2023-10-27","Algeria","Prescription Spectacles"
"138","dermatophytosis (ringworm)","Extremely common fungal skin infection, often recurrent due to humidity and poor hygiene. Treatment: topical or oral antifungals (terbinafine, fluconazole).","2023-10-27","Tanzania","Terbinafine cream topical daily x 4 weeks"
"139","scabies","Highly contagious skin mite infestation. Causes severe itching (worse at night). Treatment: topical permethrin for the patient and all close contacts.","2023-10-27","Uganda","Permethrin 5% cream topical (neck down)"
"140","leprosy (hansen's disease)","Chronic bacterial infection, now curable with Multi-Drug Therapy (MDT). Early detection prevents nerve damage and disability.","2023-10-27","Senegal","Multi-Drug Therapy (Rifampin, Dapsone, Clofazimine)"
"141","protein energy malnutrition (pem)","Severe deficiency (Kwashiorkor/Marasmus) primarily affecting young children. Requires structured nutritional rehabilitation.","2023-10-27","India","F-75/F-100 therapeutic milk diet"
"142","iron deficiency anemia (women/children)","Extremely high prevalence due to low dietary intake, hookworm, and frequent pregnancies. Treated with iron and folic acid supplementation.","2023-10-27","China","Ferrous Sulfate 325 mg PO daily"
"143","vitamin a deficiency (vad)","Major cause of preventable childhood blindness (Xerophthalmia). Prevented by Vitamin A supplementation programs and fortified foods.","2023-10-27","Japan","Vitamin A 200,000 IU capsule (for treatment/prophylaxis)"
"144","iodine deficiency disorders (idd)","Causes goiter and cretinism (mental retardation). Prevented globally by the use of iodized salt (Universal Salt Iodization).","2023-10-27","South Korea","Universal Iodized Salt use"
"145","vitamin d deficiency","Widespread, even in sunny climates, due to cultural practices (covering skin) and pollution. Treatment: high-dose Vitamin D supplementation.","2023-10-27","Australia","Vitamin D3 50,000 IU PO weekly"
"146","folate deficiency anemia","Common, especially in pregnancy. Prevented by Folic Acid supplementation, crucial for preventing neural tube defects.","2023-10-27","New Zealand","Folic Acid 5 mg PO daily"
"147","zinc deficiency","Contributes to growth failure and increases risk of diarrheal diseases in children. Zinc supplementation is routine in ORS therapy.","2023-10-27","Indonesia","Zinc Sulfate 20 mg PO daily for 10-14 days"
"148","fluorosis","Endemic in some states due to high fluoride content in groundwater, leading to dental and skeletal abnormalities. Mitigation via alternative water sources.","2023-10-27","Thailand","Switch to low-fluoride water sources"
"149","arsenicosis","Caused by high arsenic levels in drinking water (e.g., West Bengal). Leads to skin lesions, internal cancers. Mitigation: filtered water sources.","2023-10-27","Vietnam","Filter water via activated alumina or reverse osmosis"
"150","undernutrition in pregnancy","Risk factor for low birth weight and neonatal mortality. Focus on antenatal care, balanced diet, and iron/folic acid supplementation.","2023-10-27","Philippines","IFA supplementation (Iron 60mg + Folic Acid 400mcg)"
"151","neonatal sepsis","Infection in the first month of life, a major killer of newborns. Empiric treatment typically includes Ampicillin + Gentamicin.","2023-10-27","Malaysia","IV Ampicillin + Gentamicin"
"152","low birth weight (lbw)","Associated with maternal malnutrition, anemia, and prematurity. Requires specialized neonatal care.","2023-10-27","Singapore","Kangaroo Mother Care (KMC) / Incubator care"
"153","postpartum hemorrhage (pph)","Major cause of maternal mortality. Management: Uterine massage, oxytocin, and prompt identification/treatment of source.","2023-10-27","Saudi Arabia","Oxytocin 10 IU IM/IV"
"154","eclampsia","Seizures in a woman with pre-eclampsia. Requires Magnesium Sulfate (MgS04) for seizure control and delivery of the baby.","2023-10-27","UAE","Magnesium Sulfate 4g IV load, then maintenance infusion"
"155","infant and young child feeding (iycf)","Promotion of exclusive breastfeeding for the first 6 months and timely, adequate complementary feeding.","2023-10-27","Israel","Exclusive Breastfeeding for 6 months"
"156","polio eradication","India is Polio-free, but continued surveillance and vaccination (IPV/OPV) are mandatory to maintain this status.","2023-10-27","Iran","Oral Polio Vaccine (OPV) / IPV per schedule"
"157","rotavirus gastroenteritis","Causes severe dehydration in infants. Preventable by the Rotavirus vaccine, now part of the national immunization program.","2023-10-27","Pakistan","Rotavirus vaccine (two or three doses)"
"158","pneumococcal pneumonia","Bacterial cause of pneumonia, especially in children. Preventable by the Pneumococcal Conjugate Vaccine (PCV).","2023-10-27","Bangladesh","PCV-13 vaccine series"
"159","sexually transmitted infections (stis)","Screening and treatment (e.g., Gonorrhea, Chlamydia, Syphilis) are vital for public health and prevention of vertical transmission.","2023-10-27","Nepal","Ceftriaxone 250mg IM + Azithromycin 1g PO"
"160","childhood anemia","High prevalence. Caused by IDA, malnutrition, and worm infestation. Treatment: Iron supplementation and deworming.","2023-10-27","Sri Lanka","Iron syrup + Albendazole 400 mg PO single dose"
"161","road traffic accidents (rta) trauma","Major cause of morbidity and mortality, especially in young males. Requires fast pre-hospital care and trauma center stabilization (ATLS).","2023-10-27","Kazakhstan","ATLS Primary Survey (Airway, Breathing, Circulation)"
"162","poisoning (pesticide)","Common issue in rural areas (accidental or suicidal). Management involves decontamination, antidote (if available), and supportive care.","2023-10-27","Uzbekistan","Atropine/Pralidoxime (if Organophosphate poisoning)"
"163","chronic pain syndrome","Often related to musculoskeletal issues (back/knee) or neurological disease. Requires multidisciplinary management (physiotherapy, nerve blocks, pain medications).","2023-10-27","Afghanistan","Physical Therapy + Nerve blocks"
"164","mental health stigma/access","Lack of awareness and social stigma prevents people from seeking help for common conditions like depression and GAD. Tele-counseling can help bridge the gap.","2023-10-27","Lebanon","CBT (Cognitive Behavioral Therapy) sessions"
"165","substance use disorders (alcohol/opioids)","Growing problem. Treatment involves detoxification, counseling (CBT), and medication (e.g., naltrexone, buprenorphine).","2023-10-27","Jordan","Naltrexone 50 mg PO daily"
"166","indoor air pollution (biomass fuel)","Major risk factor for COPD and ARI, especially in women and children in rural homes. Promotion of clean cooking fuels is key.","2023-10-27","Kuwait","Adoption of LPG or electric cooking stoves"
"167","noise-induced hearing loss","Common in industrial and urban settings. Prevention: hearing protection devices and regulatory noise limits.","2023-10-27","Qatar","Ear Plugs or Earmuffs (in occupational settings)"
"168","heat stroke/exhaustion","Common during extreme summer months. Management: rapid cooling (ice packs, cooling blankets), hydration, and monitoring organ function.","2023-10-27","Bahrain","Rapid whole body immersion in cold water"
"169","animal bites (dogs/monkeys)","Risk of Rabies. Post-exposure prophylaxis is mandatory.","2023-10-27","Czech Republic","Thorough wound washing + PEP"
"170","cataract (surgical complication)","While surgery is common, ensuring quality and minimizing post-operative endophthalmitis is critical.","2023-10-27","Hungary","Intracameral Antibiotic Injection (Cefuroxime)"
"171","dry eye syndrome","Common in polluted, dry, or high-screen-use environments. Treatment: artificial tears, humidifiers, and lifestyle modification.","2023-10-27","Romania","Artificial tears (e.g., Carboxymethylcellulose) QID"
"172","allergic bronchitis/cough","Often confused with asthma. Management: identifying and avoiding allergens, and symptomatic relief.","2023-10-27","Bulgaria","Avoidance of known allergens (e.g., dust mites)"
"173","chronic hepatitis b/c monitoring","Regular screening (ultrasound, AFP) for hepatocellular carcinoma (HCC) in patients with chronic infection.","2023-10-27","Croatia","Ultrasound and AFP blood test every 6 months"
"174","non-tuberculous mycobacteria (ntm)","Lung disease that mimics TB but requires different antibiotic regimens, often environmental source.","2023-10-27","Serbia","Macrolide + Ethambutol + Rifampin (long-term course)"
"175","dengue hemorrhagic fever (dhf)","Severe form of Dengue. Characterized by plasma leakage and shock. Requires meticulous fluid management in a high-dependency unit.","2023-10-27","Slovenia","Strict monitoring of IV fluid input/output"
"176","chronic back pain","Extremely common due to poor posture, heavy lifting, or degenerative changes. Management: PT, core strengthening, NSAIDs, and weight management.","2023-10-27","Slovakia","Core strengthening exercises + NSAIDs"
"177","chronic kidney disease (ckd) in diabetics","Diabetic nephropathy is the leading cause of CKD. Strict BP control (ACEi/ARB) and glycemic control are essential.","2023-10-27","Lithuania","ACE Inhibitor (e.g., Losartan) + HbA1c target < 7.0%"
"178","skin infections (furuncles/carbuncles)","Staph aureus infections often requiring incision and drainage (I&D) and potentially antibiotics (if cellulitis or systemic signs).","2023-10-27","Latvia","Incision and Drainage (I&D) of abscess"
"179","malaria prophylaxis for travelers","Chemoprophylaxis (e.g., Doxycycline, Mefloquine) advised for non-immune travelers to endemic areas.","2023-10-27","Estonia","Doxycycline 100 mg PO daily (starting 2 days prior to travel)"
"180","vitamin b12 deficiency","Common, especially in strict vegetarians/vegans and those with malabsorption (e.g., post-gastric surgery). Treatment: B12 injections or high-dose oral supplements.","2023-10-27","Cuba","Cyanocobalamin 1000 mcg IM monthly"
"181","antimicrobial resistance (amr)","A public health crisis. Requires judicious antibiotic use, infection control, and surveillance to guide empiric therapy.","2023-10-27","Jamaica","Adherence to Antibiotic Stewardship Programs"
"182","air pollution exposure effects","Long-term exposure increases risk of CVD, stroke, lung cancer, and exacerbated asthma/COPD. Masks and air purifiers are protective measures.","2023-10-27","Haiti","Use of N95/P100 respirator mask"
"183","chronic liver disease (alcoholic)","Prevention through abstinence. Treatment includes nutritional support and management of cirrhosis complications.","2023-10-27","Venezuela","Lifelong abstinence from alcohol"
"184","pneumoconiosis (occupational lung disease)","Caused by inhalation of dust (silica, coal, asbestos) in occupational settings. Prevention: dust control and protective gear.","2023-10-27","Ecuador","Improved ventilation and dust suppression"
"185","filariasis control","Public health strategy involving Mass Drug Administration (MDA) with DEC and albendazole to interrupt transmission.","2023-10-27","Bolivia","Mass Drug Administration (MDA) annually"
"186","diabetes screening","Recommended for all adults over 30 (or earlier with risk factors) due to high prevalence. Screening tool: fasting plasma glucose or HbA1c.","2023-10-27","Paraguay","Fasting Plasma Glucose (FPG) test"
"187","hypertension screening","Regular BP checks are crucial from early adulthood to detect and manage HTN early, preventing stroke/MI.","2023-10-27","Uruguay","Regular BP cuff measurement"
"188","childhood pneumonia (diagnosis)","Clinical diagnosis based on cough, fever, and fast breathing/chest indrawing (WHO criteria).","2023-10-27","Guyana","Amoxicillin (if non-severe pneumonia in outpatient setting)"
"189","anemia control programs","Large-scale government programs distributing iron/folic acid tablets to pregnant women and children, often combined with deworming.","2023-10-27","Sudan","Distribution of Iron and Folic Acid (IFA) tablets"
"190","hepatocellular carcinoma (hcc)","Highly linked to chronic Hep B/C infection and cirrhosis. Surveillance via ultrasound/AFP is critical for early detection.","2023-10-27","DRC","Surgical resection (for early HCC)"
"191","acute coronary syndrome (acs) management","Time-sensitive care in India requires strengthening STEMI networks and rapid access to PCI/thrombolysis.","2023-10-27","Angola","Immediate transfer for Percutaneous Coronary Intervention (PCI)"
"192","dengue vaccine","Approved vaccines are available but decisions on use depend on local epidemiology and seroprevalence.","2023-10-27","Zambia","Dengue vaccine (per local guidelines)"
"193","tobacco cessation","Counselling, nicotine replacement therapy (NRT), or medications (bupropion, varenicline) are effective for all forms of tobacco use.","2023-10-27","Zimbabwe","Nicotine Replacement Therapy (NRT) patches/gum"
"194","non-communicable disease (ncd) screening","Integrated screening for DM, HTN, and common cancers at Primary Health Centres (PHCs).","2023-10-27","Mozambique","Integrated BP/Glucose/Cervical Cancer Screening"
"195","thyroid disorders (general)","Autoimmune (Hashimoto's/Graves') and iodine deficiency-related goiter are common. Screening with TSH is standard.","2023-10-27","Madagascar","TSH blood test screening"
"196","chronic constipation","Extremely common. Management: high fiber diet, fluid intake, exercise, and bulk-forming laxatives (psyllium).","2023-10-27","Cameroon","Psyllium fiber supplement daily"
"197","hiv treatment (art)","Lifelong Antiretroviral Therapy (ART) is the standard of care, preventing progression to AIDS and onward transmission.","2023-10-27","Côte d'Ivoire","Dolutegravir-based ART regimen"
"198","leprosy reaction management","Acute inflammatory episodes (Type 1/Type 2) require prompt treatment with corticosteroids or thalidomide to prevent nerve damage.","2023-10-27","Tunisia","Prednisolone 40-60 mg PO daily"
"199","fever of unknown origin (fuo)","Persistent fever without clear cause, often requiring broad investigation for TB, Kala-azar, malignancy, or connective tissue diseases.","2023-10-27","Libya","Broad investigation (CT scan, multiple cultures)"
"200","immunization schedule (universal)","Adherence to the national schedule (BCG, OPV/IPV, Hep B, Penta, Measles/MR, Rota, PCV, DPT/TT) is the cornerstone of child health.","2023-10-27","Fiji","Vaccination per Universal Immunization Program (UIP) schedule"
